Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Damian Lillard,34,PG,58,58,36.1,7.7,17.1,.448,3.4,9.0,.376,4.3,8.1,.528,.547,6.2,6.8,.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9
Giannis Antetokounmpo,30,PF,67,67,34.2,11.8,19.7,.601,0.2,0.9,.222,11.6,18.7,.620,.607,6.5,10.6,.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4
Kyle Kuzma,29,PF,33,32,31.8,5.4,11.9,.455,1.5,4.6,.333,3.9,7.3,.533,.520,2.1,3.2,.663,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,14.5
Brook Lopez,36,C,80,80,31.8,4.9,9.7,.509,1.7,4.7,.373,3.2,5.0,.636,.599,1.4,1.7,.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0
Taurean Prince,30,SF,80,73,27.1,2.9,6.4,.457,1.8,4.2,.439,1.1,2.2,.492,.600,0.5,0.6,.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2
Gary Trent Jr.,26,SG,74,9,25.6,3.8,8.9,.431,2.4,5.9,.416,1.4,3.0,.460,.568,1.1,1.2,.848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1
Bobby Portis,29,PF,49,7,25.4,5.7,12.1,.466,1.3,3.6,.365,4.3,8.5,.508,.520,1.2,1.5,.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9
Khris Middleton,33,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6
A.J. Green,25,SG,73,7,22.7,2.5,5.8,.429,2.1,5.0,.427,0.4,0.8,.443,.612,0.3,0.4,.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4
Kevin Porter Jr.,24,SG,30,2,19.9,4.0,8.2,.494,1.0,2.4,.408,3.1,5.8,.529,.553,2.7,3.1,.871,0.4,3.5,3.9,3.7,1.3,0.1,1.7,1.6,11.7
Delon Wright,32,PG,26,2,15.6,0.8,3.2,.268,0.5,1.9,.245,0.4,1.3,.303,.341,0.3,0.6,.563,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,2.5
Jericho Sims,26,C,14,0,15.0,1.2,1.8,.680,0.0,0.0,,1.2,1.8,.680,.680,0.0,0.0,,1.4,3.4,4.9,0.8,0.1,0.6,0.9,1.4,2.4
Pat Connaughton,32,SG,41,1,14.7,2.0,4.3,.469,0.6,2.0,.321,1.4,2.3,.594,.542,0.6,0.8,.774,0.5,2.2,2.7,1.7,0.2,0.3,0.6,1.1,5.3
Andre Jackson Jr.,23,SG,67,43,14.6,1.4,2.9,.477,0.4,1.1,.395,1.0,1.8,.529,.553,0.2,0.4,.500,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4
Ryan Rollins,22,PG,56,19,14.6,2.4,4.8,.487,0.9,2.1,.408,1.5,2.7,.550,.577,0.6,0.8,.800,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,6.2
Jamaree Bouyea,25,PG,5,1,12.4,1.2,2.4,.500,0.2,1.0,.200,1.0,1.4,.714,.542,0.8,1.2,.667,0.2,0.8,1.0,2.0,0.8,0.4,1.6,0.4,3.4
Pete Nance,24,PF,6,1,11.7,1.5,2.8,.529,0.8,2.0,.417,0.7,0.8,.800,.676,0.0,0.0,,0.5,1.3,1.8,1.2,0.2,0.3,0.7,1.2,3.8
AJ Johnson,20,SG,7,0,6.3,1.1,2.7,.421,0.4,0.7,.600,0.7,2.0,.357,.500,0.1,0.3,.500,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,2.9
Tyler Smith,20,PF,23,0,5.3,1.0,2.2,.480,0.6,1.3,.433,0.5,0.9,.550,.610,0.3,0.3,.750,0.3,0.8,1.1,0.2,0.1,0.2,0.3,0.5,2.9
Chris Livingston,21,SF,21,1,5.0,0.4,1.3,.333,0.0,0.4,.000,0.4,0.9,.474,.333,0.6,0.8,.750,0.5,1.2,1.7,0.2,0.2,0.0,0.3,0.4,1.4
MarJon Beauchamp,24,SF,26,0,4.7,0.7,1.8,.383,0.3,0.8,.333,0.4,1.0,.423,.457,0.3,0.5,.750,0.3,1.0,1.2,0.3,0.1,0.0,0.5,0.4,2.0
Liam Robbins,25,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7
Stanley Umude,25,SG,22,0,3.9,0.2,1.2,.192,0.1,0.7,.200,0.1,0.5,.182,.250,0.1,0.2,.500,0.2,0.6,0.8,0.2,0.1,0.3,0.1,0.4,0.7
