Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paolo Banchero,22,PF,46,46,34.4,9.0,19.8,.452,1.9,5.9,.320,7.1,13.9,.509,.500,6.1,8.4,.727,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9
Franz Wagner,23,SF,60,60,33.7,9.0,19.4,.463,1.7,5.9,.295,7.2,13.5,.535,.507,4.5,5.2,.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2
Kentavious Caldwell-Pope,31,SG,77,77,29.6,3.1,7.1,.439,1.5,4.3,.342,1.6,2.8,.589,.543,1.1,1.2,.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7
Jalen Suggs,23,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2
Wendell Carter Jr.,25,C,68,51,25.9,3.3,7.2,.460,0.5,2.3,.234,2.8,4.9,.568,.498,1.9,2.6,.737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1
Anthony Black,21,PG,78,10,24.2,3.4,7.9,.423,0.8,2.5,.318,2.6,5.4,.471,.473,1.9,2.5,.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4
Tristan Da Silva,23,SF,74,38,22.0,2.7,6.5,.412,1.1,3.2,.335,1.6,3.3,.488,.495,0.7,0.9,.873,1.0,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2
Goga Bitadze,25,C,70,42,20.4,3.0,4.8,.611,0.0,0.4,.107,2.9,4.4,.656,.615,1.2,1.9,.639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2
Moritz Wagner,27,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9
Cole Anthony,24,PG,67,22,18.4,3.4,8.1,.424,1.1,3.3,.353,2.3,4.9,.471,.494,1.4,1.7,.823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4
Jonathan Isaac,27,PF,71,1,15.4,1.9,4.6,.414,0.5,2.1,.258,1.3,2.4,.549,.474,1.0,1.5,.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4
Gary Harris,30,SG,48,3,14.8,1.1,2.8,.383,0.8,2.1,.356,0.3,0.7,.469,.519,0.1,0.3,.583,0.4,0.9,1.3,0.6,0.5,0.3,0.4,0.9,3.0
Trevelin Queen,27,SG,31,2,13.9,1.8,4.7,.381,0.7,2.5,.286,1.1,2.3,.486,.456,0.6,0.7,.857,0.8,0.9,1.7,1.2,1.0,0.3,0.7,1.2,4.9
Caleb Houstan,22,SF,58,6,13.6,1.4,3.3,.421,1.1,2.8,.400,0.3,0.5,.533,.589,0.3,0.3,.882,0.3,1.0,1.3,0.6,0.4,0.1,0.2,1.1,4.1
Cory Joseph,33,PG,50,16,12.2,1.2,3.1,.403,0.8,2.1,.364,0.5,0.9,.489,.529,0.3,0.4,.778,0.3,1.1,1.5,1.4,0.5,0.1,0.4,1.0,3.5
Jett Howard,21,SF,60,0,11.7,1.6,4.4,.374,0.9,3.1,.296,0.7,1.3,.566,.479,0.3,0.4,.696,0.3,0.8,1.2,0.7,0.2,0.2,0.6,1.1,4.5
Mac McClung,26,SG,2,0,5.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.5,0.0,0.0,0.0,1.0,0.0
